objective,date,hits
target20,2015,227
target20,2016,316
target20,2017,266
target20,2018,201
target20,2019,203
nochange20,2015,167
nochange20,2016,123
nochange20,2017,214
nochange20,2018,138
nochange20,2019,122
worse20,2015,474
worse20,2016,346
worse20,2017,252
worse20,2018,204
worse20,2019,210
target30,2020,413
target30,2021,291
target30,2022,211
target30,2023,200
target30,2024,154
nochange30,2020,40
nochange30,2021,23
nochange30,2022,26
nochange30,2023,12
nochange30,2024,18
worse30,2020,470
worse30,2021,388
worse30,2022,121
worse30,2023,142
worse30,2024,113
