Document Distribution By Date
Distribution: Yearly
1213 documents  From All Dates

Date,Document Count
Start Date: 1 January 2015 End Date: 31 December 2015,227
Start Date: 1 January 2016 End Date: 31 December 2016,316
Start Date: 1 January 2017 End Date: 31 December 2017,266
Start Date: 1 January 2018 End Date: 31 December 2018,201
Start Date: 1 January 2019 End Date: 31 December 2019,203


Search Summary,
Text,(rst=nytf OR rst=wsjo OR rst=sfnpr) AND (digital near5 health OR manage* near5 health OR track* near5 health OR patient near5 portal)
Date,01/01/2015 to 12/31/2019
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,All Languages
Results Found,"1,213"
Timestamp,4 December 2024 10:36
"© 2024 Factiva, Inc.  All rights reserved."
