Document Distribution By Date
Distribution: Yearly
1234 documents  From All Dates

Date,Document Count
Start Date: 1 January 2020 End Date: 31 December 2020,470
Start Date: 1 January 2021 End Date: 31 December 2021,388
Start Date: 1 January 2022 End Date: 31 December 2022,121
Start Date: 1 January 2023 End Date: 31 December 2023,142
Start Date: 1 January 2024 End Date: 31 December 2024,113


Search Summary,
Text,(rst=sfnpr OR rst=wsjo OR rst=sfnyt) AND (broadband internet OR internet access OR digital equity)
Date,01/01/2020 to 12/01/2024
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,United States
Language,All Languages
Results Found,"1,234"
Timestamp,4 December 2024 10:41
"© 2024 Factiva, Inc.  All rights reserved."
