"location","hits","keyword","geo","gprop"
"New York",100,"electronic health records","US","web"
"Mississippi",90,"electronic health records","US","web"
"Maryland",88,"electronic health records","US","web"
"West Virginia",84,"electronic health records","US","web"
"Maine",84,"electronic health records","US","web"
"District of Columbia",81,"electronic health records","US","web"
"Delaware",77,"electronic health records","US","web"
"Alaska",72,"electronic health records","US","web"
"South Carolina",69,"electronic health records","US","web"
"Virginia",66,"electronic health records","US","web"
"North Carolina",64,"electronic health records","US","web"
"Tennessee",62,"electronic health records","US","web"
"Minnesota",61,"electronic health records","US","web"
"Kentucky",60,"electronic health records","US","web"
"Georgia",60,"electronic health records","US","web"
"New Hampshire",60,"electronic health records","US","web"
"Pennsylvania",59,"electronic health records","US","web"
"Louisiana",59,"electronic health records","US","web"
"Massachusetts",58,"electronic health records","US","web"
"Connecticut",58,"electronic health records","US","web"
"Alabama",57,"electronic health records","US","web"
"Michigan",56,"electronic health records","US","web"
"Vermont",56,"electronic health records","US","web"
"Ohio",55,"electronic health records","US","web"
"Hawaii",55,"electronic health records","US","web"
"New Jersey",54,"electronic health records","US","web"
"Rhode Island",53,"electronic health records","US","web"
"Arkansas",53,"electronic health records","US","web"
"Indiana",52,"electronic health records","US","web"
"Montana",51,"electronic health records","US","web"
"Idaho",51,"electronic health records","US","web"
"Kansas",50,"electronic health records","US","web"
"New Mexico",50,"electronic health records","US","web"
"Arizona",48,"electronic health records","US","web"
"Florida",48,"electronic health records","US","web"
"Wisconsin",47,"electronic health records","US","web"
"North Dakota",47,"electronic health records","US","web"
"Colorado",45,"electronic health records","US","web"
"Texas",45,"electronic health records","US","web"
"Missouri",44,"electronic health records","US","web"
"Illinois",43,"electronic health records","US","web"
"Oklahoma",42,"electronic health records","US","web"
"Washington",42,"electronic health records","US","web"
"South Dakota",41,"electronic health records","US","web"
"California",40,"electronic health records","US","web"
"Nevada",40,"electronic health records","US","web"
"Nebraska",39,"electronic health records","US","web"
"Iowa",38,"electronic health records","US","web"
"Oregon",38,"electronic health records","US","web"
"Wyoming",37,"electronic health records","US","web"
"Utah",29,"electronic health records","US","web"
"Kentucky",100,"symptoms","US","web"
"West Virginia",94,"symptoms","US","web"
"Mississippi",85,"symptoms","US","web"
"Arkansas",83,"symptoms","US","web"
"Alabama",82,"symptoms","US","web"
"South Dakota",81,"symptoms","US","web"
"Michigan",80,"symptoms","US","web"
"Maine",79,"symptoms","US","web"
"Pennsylvania",78,"symptoms","US","web"
"Ohio",78,"symptoms","US","web"
"Missouri",78,"symptoms","US","web"
"North Dakota",78,"symptoms","US","web"
"South Carolina",77,"symptoms","US","web"
"Indiana",76,"symptoms","US","web"
"New Hampshire",75,"symptoms","US","web"
"Nebraska",75,"symptoms","US","web"
"Oklahoma",75,"symptoms","US","web"
"Connecticut",75,"symptoms","US","web"
"Montana",74,"symptoms","US","web"
"Vermont",74,"symptoms","US","web"
"Tennessee",73,"symptoms","US","web"
"Idaho",73,"symptoms","US","web"
"Iowa",72,"symptoms","US","web"
"Delaware",72,"symptoms","US","web"
"Wyoming",71,"symptoms","US","web"
"Georgia",71,"symptoms","US","web"
"Louisiana",70,"symptoms","US","web"
"North Carolina",70,"symptoms","US","web"
"Minnesota",70,"symptoms","US","web"
"Wisconsin",68,"symptoms","US","web"
"Alaska",68,"symptoms","US","web"
"Illinois",68,"symptoms","US","web"
"Utah",68,"symptoms","US","web"
"Kansas",68,"symptoms","US","web"
"New Mexico",66,"symptoms","US","web"
"Rhode Island",65,"symptoms","US","web"
"Massachusetts",64,"symptoms","US","web"
"Maryland",64,"symptoms","US","web"
"Arizona",64,"symptoms","US","web"
"Texas",64,"symptoms","US","web"
"New Jersey",64,"symptoms","US","web"
"Colorado",63,"symptoms","US","web"
"Virginia",62,"symptoms","US","web"
"New York",62,"symptoms","US","web"
"Florida",61,"symptoms","US","web"
"District of Columbia",61,"symptoms","US","web"
"Washington",60,"symptoms","US","web"
"Oregon",59,"symptoms","US","web"
"California",58,"symptoms","US","web"
"Hawaii",57,"symptoms","US","web"
"Nevada",56,"symptoms","US","web"
