"date","hits","keyword","geo","time","gprop","category"
2019-12-29,28,"mychart","US","2020-01-01 2024-12-01","web",0
2020-01-05,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-01-12,32,"mychart","US","2020-01-01 2024-12-01","web",0
2020-01-19,32,"mychart","US","2020-01-01 2024-12-01","web",0
2020-01-26,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-02-02,31,"mychart","US","2020-01-01 2024-12-01","web",0
2020-02-09,31,"mychart","US","2020-01-01 2024-12-01","web",0
2020-02-16,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-02-23,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-03-01,34,"mychart","US","2020-01-01 2024-12-01","web",0
2020-03-08,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-03-15,36,"mychart","US","2020-01-01 2024-12-01","web",0
2020-03-22,31,"mychart","US","2020-01-01 2024-12-01","web",0
2020-03-29,30,"mychart","US","2020-01-01 2024-12-01","web",0
2020-04-05,28,"mychart","US","2020-01-01 2024-12-01","web",0
2020-04-12,27,"mychart","US","2020-01-01 2024-12-01","web",0
2020-04-19,27,"mychart","US","2020-01-01 2024-12-01","web",0
2020-04-26,28,"mychart","US","2020-01-01 2024-12-01","web",0
2020-05-03,30,"mychart","US","2020-01-01 2024-12-01","web",0
2020-05-10,32,"mychart","US","2020-01-01 2024-12-01","web",0
2020-05-17,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-05-24,30,"mychart","US","2020-01-01 2024-12-01","web",0
2020-05-31,33,"mychart","US","2020-01-01 2024-12-01","web",0
2020-06-07,35,"mychart","US","2020-01-01 2024-12-01","web",0
2020-06-14,40,"mychart","US","2020-01-01 2024-12-01","web",0
2020-06-21,44,"mychart","US","2020-01-01 2024-12-01","web",0
2020-06-28,46,"mychart","US","2020-01-01 2024-12-01","web",0
2020-07-05,50,"mychart","US","2020-01-01 2024-12-01","web",0
2020-07-12,52,"mychart","US","2020-01-01 2024-12-01","web",0
2020-07-19,48,"mychart","US","2020-01-01 2024-12-01","web",0
2020-07-26,48,"mychart","US","2020-01-01 2024-12-01","web",0
2020-08-02,46,"mychart","US","2020-01-01 2024-12-01","web",0
2020-08-09,42,"mychart","US","2020-01-01 2024-12-01","web",0
2020-08-16,43,"mychart","US","2020-01-01 2024-12-01","web",0
2020-08-23,41,"mychart","US","2020-01-01 2024-12-01","web",0
2020-08-30,41,"mychart","US","2020-01-01 2024-12-01","web",0
2020-09-06,39,"mychart","US","2020-01-01 2024-12-01","web",0
2020-09-13,43,"mychart","US","2020-01-01 2024-12-01","web",0
2020-09-20,42,"mychart","US","2020-01-01 2024-12-01","web",0
2020-09-27,45,"mychart","US","2020-01-01 2024-12-01","web",0
2020-10-04,47,"mychart","US","2020-01-01 2024-12-01","web",0
2020-10-11,49,"mychart","US","2020-01-01 2024-12-01","web",0
2020-10-18,48,"mychart","US","2020-01-01 2024-12-01","web",0
2020-10-25,50,"mychart","US","2020-01-01 2024-12-01","web",0
