"date","hits","keyword","geo","time","gprop","category"
2019-12-29,4,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-01-05,5,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-01-12,5,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-01-19,5,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-01-26,5,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-02-02,5,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-02-09,6,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-02-16,6,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-02-23,6,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-03-01,8,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-03-08,23,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-03-15,100,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-03-22,93,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-03-29,73,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-04-05,59,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-04-12,52,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-04-19,43,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-04-26,38,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-05-03,32,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-05-10,30,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-05-17,27,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-05-24,28,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-05-31,26,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-06-07,22,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-06-14,28,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-06-21,24,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-06-28,21,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-07-05,24,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-07-12,23,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-07-19,25,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-07-26,23,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-08-02,25,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-08-09,22,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-08-16,20,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-08-23,21,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-08-30,20,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-09-06,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-09-13,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-09-20,20,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-09-27,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-10-04,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-10-11,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-10-18,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-10-25,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-11-01,15,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-11-08,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-11-15,21,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-11-22,16,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-11-29,20,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-12-06,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-12-13,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-12-20,13,"telehealth","US","2020-01-01 2024-12-01","web",0
2020-12-27,14,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-01-03,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-01-10,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-01-17,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-01-24,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-01-31,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-02-07,19,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-02-14,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-02-21,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-02-28,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-03-07,16,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-03-14,16,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-03-21,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-03-28,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-04-04,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-04-11,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-04-18,18,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-04-25,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-05-02,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-05-09,16,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-05-16,17,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-05-23,16,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-05-30,14,"telehealth","US","2020-01-01 2024-12-01","web",0
2021-06-06,15,"telehealth","US","2020-01-01 2024-12-01","web",0
