"date","hits","keyword","geo","time","gprop","category"
2014-12-28,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-01-04,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-01-11,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-01-18,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-01-25,12,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-02-01,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-02-08,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-02-15,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-02-22,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-03-01,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-03-08,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-03-15,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-03-22,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-03-29,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-04-05,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-04-12,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-04-19,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-04-26,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-05-03,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-05-10,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-05-17,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-05-24,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-05-31,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-06-07,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-06-14,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-06-21,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-06-28,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-07-05,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-07-12,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-07-19,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-07-26,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-08-02,12,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-08-09,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-08-16,12,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-08-23,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-08-30,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-09-06,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-09-13,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-09-20,11,"broadband internet","US","2015-01-01 2019-12-31","web",0
2015-09-27,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
