"date","hits","keyword","geo","time","gprop","category"
2014-12-28,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-01-04,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-01-11,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-01-18,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-01-25,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-02-01,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-02-08,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-02-15,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-02-22,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-03-01,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-03-08,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-03-15,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-03-22,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-03-29,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-04-05,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-04-12,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-04-19,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-04-26,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-05-03,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-05-10,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-05-17,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-05-24,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-05-31,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-06-07,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-06-14,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-06-21,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-06-28,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-07-05,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-07-12,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-07-19,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-07-26,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-08-02,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-08-09,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-08-16,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-08-23,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-08-30,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-09-06,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-09-13,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-09-20,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-09-27,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-10-04,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-10-11,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-10-18,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-10-25,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-11-01,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-11-08,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-11-15,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-11-22,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-11-29,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-12-06,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-12-13,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-12-20,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2015-12-27,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-01-03,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-01-10,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-01-17,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-01-24,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-01-31,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-02-07,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-02-14,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-02-21,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-02-28,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-03-06,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-03-13,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-03-20,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-03-27,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-04-03,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-04-10,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-04-17,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-04-24,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-05-01,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-05-08,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-05-15,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-05-22,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-05-29,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-06-05,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-06-12,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-06-19,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-06-26,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-07-03,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-07-10,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-07-17,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-07-24,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-07-31,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-08-07,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-08-14,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-08-21,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-08-28,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-09-04,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-09-11,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-09-18,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-09-25,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-10-02,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-10-09,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-10-16,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-10-23,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-10-30,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-11-06,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-11-13,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-11-20,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-11-27,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-12-04,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-12-11,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-12-18,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2016-12-25,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-01-01,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-01-08,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-01-15,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-01-22,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-01-29,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-02-05,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-02-12,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-02-19,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-02-26,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-03-05,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-03-12,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-03-19,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-03-26,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-04-02,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-04-09,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-04-16,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-04-23,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-04-30,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-05-07,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-05-14,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-05-21,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-05-28,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-06-04,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-06-11,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
2017-06-18,"<1","electronic health records","US","2015-01-01 2019-12-31","web",0
