"location","hits","keyword","geo","gprop"
"Minnesota",100,"mychart","US","web"
"Ohio",81,"mychart","US","web"
"Wisconsin",80,"mychart","US","web"
"South Carolina",67,"mychart","US","web"
"Kentucky",61,"mychart","US","web"
"Washington",57,"mychart","US","web"
"Oregon",56,"mychart","US","web"
"North Carolina",52,"mychart","US","web"
"Indiana",51,"mychart","US","web"
"Illinois",49,"mychart","US","web"
"West Virginia",47,"mychart","US","web"
"Michigan",46,"mychart","US","web"
"Vermont",44,"mychart","US","web"
"Virginia",44,"mychart","US","web"
"Maine",43,"mychart","US","web"
"Connecticut",40,"mychart","US","web"
"North Dakota",37,"mychart","US","web"
"New Mexico",36,"mychart","US","web"
"Idaho",35,"mychart","US","web"
"Iowa",33,"mychart","US","web"
"Maryland",31,"mychart","US","web"
"Missouri",29,"mychart","US","web"
"Oklahoma",28,"mychart","US","web"
"Georgia",27,"mychart","US","web"
"Hawaii",26,"mychart","US","web"
"Montana",24,"mychart","US","web"
"Massachusetts",24,"mychart","US","web"
"Arkansas",23,"mychart","US","web"
"Kansas",22,"mychart","US","web"
"Texas",21,"mychart","US","web"
"South Dakota",21,"mychart","US","web"
"Pennsylvania",20,"mychart","US","web"
"New York",20,"mychart","US","web"
"Mississippi",20,"mychart","US","web"
"Delaware",19,"mychart","US","web"
"Louisiana",18,"mychart","US","web"
"New Jersey",17,"mychart","US","web"
"Nebraska",16,"mychart","US","web"
"Nevada",16,"mychart","US","web"
"Utah",16,"mychart","US","web"
"Wyoming",14,"mychart","US","web"
"California",13,"mychart","US","web"
"Rhode Island",12,"mychart","US","web"
"District of Columbia",12,"mychart","US","web"
"Florida",12,"mychart","US","web"
"New Hampshire",9,"mychart","US","web"
"Arizona",9,"mychart","US","web"
"Colorado",9,"mychart","US","web"
"Alaska",9,"mychart","US","web"
"Tennessee",9,"mychart","US","web"
"Alabama",3,"mychart","US","web"
"North Carolina",100,"health app","US","web"
"Massachusetts",89,"health app","US","web"
"District of Columbia",89,"health app","US","web"
"New Jersey",86,"health app","US","web"
"Colorado",85,"health app","US","web"
"Utah",85,"health app","US","web"
"Minnesota",84,"health app","US","web"
"Pennsylvania",83,"health app","US","web"
"New York",82,"health app","US","web"
"Connecticut",80,"health app","US","web"
"Indiana",80,"health app","US","web"
"Washington",80,"health app","US","web"
"California",79,"health app","US","web"
"Vermont",79,"health app","US","web"
"Rhode Island",78,"health app","US","web"
"New Hampshire",78,"health app","US","web"
"Hawaii",78,"health app","US","web"
"Florida",77,"health app","US","web"
"Michigan",77,"health app","US","web"
"Oregon",76,"health app","US","web"
"Virginia",76,"health app","US","web"
"South Carolina",75,"health app","US","web"
"Kentucky",75,"health app","US","web"
"Illinois",75,"health app","US","web"
"Ohio",74,"health app","US","web"
"Maine",74,"health app","US","web"
"Delaware",73,"health app","US","web"
"Missouri",73,"health app","US","web"
"Maryland",72,"health app","US","web"
"Wisconsin",72,"health app","US","web"
"Tennessee",72,"health app","US","web"
"Montana",72,"health app","US","web"
"Georgia",72,"health app","US","web"
"Kansas",70,"health app","US","web"
"Arizona",68,"health app","US","web"
"North Dakota",67,"health app","US","web"
"Wyoming",66,"health app","US","web"
"Louisiana",66,"health app","US","web"
"Idaho",66,"health app","US","web"
"Nevada",64,"health app","US","web"
"Alaska",64,"health app","US","web"
"West Virginia",63,"health app","US","web"
"South Dakota",62,"health app","US","web"
"Arkansas",62,"health app","US","web"
"Nebraska",61,"health app","US","web"
"Oklahoma",61,"health app","US","web"
"Alabama",61,"health app","US","web"
"Texas",60,"health app","US","web"
"New Mexico",57,"health app","US","web"
"Iowa",54,"health app","US","web"
"Mississippi",53,"health app","US","web"
