"location","hits","keyword","geo","gprop"
"District of Columbia",100,"telehealth","US","web"
"Maine",66,"telehealth","US","web"
"Kentucky",63,"telehealth","US","web"
"Maryland",62,"telehealth","US","web"
"Massachusetts",61,"telehealth","US","web"
"Tennessee",61,"telehealth","US","web"
"New Hampshire",61,"telehealth","US","web"
"Florida",60,"telehealth","US","web"
"Vermont",58,"telehealth","US","web"
"Connecticut",57,"telehealth","US","web"
"West Virginia",57,"telehealth","US","web"
"Virginia",57,"telehealth","US","web"
"Hawaii",57,"telehealth","US","web"
"Nebraska",55,"telehealth","US","web"
"South Carolina",55,"telehealth","US","web"
"New York",55,"telehealth","US","web"
"Kansas",55,"telehealth","US","web"
"Wyoming",54,"telehealth","US","web"
"Mississippi",53,"telehealth","US","web"
"Alaska",52,"telehealth","US","web"
"Idaho",52,"telehealth","US","web"
"Rhode Island",51,"telehealth","US","web"
"Utah",51,"telehealth","US","web"
"Colorado",50,"telehealth","US","web"
"North Carolina",49,"telehealth","US","web"
"Arizona",49,"telehealth","US","web"
"Ohio",48,"telehealth","US","web"
"Pennsylvania",48,"telehealth","US","web"
"Delaware",48,"telehealth","US","web"
"Georgia",47,"telehealth","US","web"
"New Jersey",47,"telehealth","US","web"
"Missouri",47,"telehealth","US","web"
"Iowa",47,"telehealth","US","web"
"Washington",46,"telehealth","US","web"
"Montana",46,"telehealth","US","web"
"New Mexico",46,"telehealth","US","web"
"Nevada",45,"telehealth","US","web"
"Oregon",44,"telehealth","US","web"
"Illinois",44,"telehealth","US","web"
"South Dakota",44,"telehealth","US","web"
"Arkansas",44,"telehealth","US","web"
"Alabama",43,"telehealth","US","web"
"Indiana",43,"telehealth","US","web"
"Michigan",43,"telehealth","US","web"
"Minnesota",43,"telehealth","US","web"
"North Dakota",42,"telehealth","US","web"
"Louisiana",42,"telehealth","US","web"
"California",41,"telehealth","US","web"
"Texas",40,"telehealth","US","web"
"Wisconsin",39,"telehealth","US","web"
"Oklahoma",38,"telehealth","US","web"
"Rhode Island",100,"health provider","US","web"
"Utah",99,"health provider","US","web"
"Florida",98,"health provider","US","web"
"Louisiana",98,"health provider","US","web"
"Arizona",97,"health provider","US","web"
"West Virginia",96,"health provider","US","web"
"Massachusetts",95,"health provider","US","web"
"Texas",93,"health provider","US","web"
"Nevada",90,"health provider","US","web"
"Idaho",89,"health provider","US","web"
"Michigan",88,"health provider","US","web"
"Virginia",82,"health provider","US","web"
"Arkansas",79,"health provider","US","web"
"Oklahoma",79,"health provider","US","web"
"Washington",77,"health provider","US","web"
"Wisconsin",76,"health provider","US","web"
"Tennessee",76,"health provider","US","web"
"Mississippi",76,"health provider","US","web"
"South Dakota",76,"health provider","US","web"
"South Carolina",75,"health provider","US","web"
"New Jersey",74,"health provider","US","web"
"Oregon",74,"health provider","US","web"
"Kentucky",73,"health provider","US","web"
"Pennsylvania",72,"health provider","US","web"
"North Carolina",71,"health provider","US","web"
"Indiana",71,"health provider","US","web"
"Missouri",71,"health provider","US","web"
"Ohio",71,"health provider","US","web"
"California",69,"health provider","US","web"
"Minnesota",67,"health provider","US","web"
"Maine",67,"health provider","US","web"
"Kansas",66,"health provider","US","web"
"Nebraska",66,"health provider","US","web"
"Colorado",65,"health provider","US","web"
"Georgia",64,"health provider","US","web"
"New York",64,"health provider","US","web"
"Illinois",63,"health provider","US","web"
"New Mexico",63,"health provider","US","web"
"Maryland",63,"health provider","US","web"
"North Dakota",62,"health provider","US","web"
"Iowa",62,"health provider","US","web"
"Connecticut",62,"health provider","US","web"
"New Hampshire",62,"health provider","US","web"
"Alabama",61,"health provider","US","web"
"Delaware",59,"health provider","US","web"
"Wyoming",58,"health provider","US","web"
"Alaska",58,"health provider","US","web"
"Vermont",57,"health provider","US","web"
"Montana",56,"health provider","US","web"
"District of Columbia",55,"health provider","US","web"
"Hawaii",38,"health provider","US","web"
