"location","hits","keyword","geo","gprop"
"Utah",100,"broadband internet","US","web"
"South Dakota",94,"broadband internet","US","web"
"Oregon",80,"broadband internet","US","web"
"Washington",77,"broadband internet","US","web"
"Idaho",76,"broadband internet","US","web"
"Nebraska",67,"broadband internet","US","web"
"Oklahoma",67,"broadband internet","US","web"
"Colorado",62,"broadband internet","US","web"
"Texas",61,"broadband internet","US","web"
"Delaware",61,"broadband internet","US","web"
"West Virginia",57,"broadband internet","US","web"
"Maine",56,"broadband internet","US","web"
"Pennsylvania",56,"broadband internet","US","web"
"Kansas",55,"broadband internet","US","web"
"New Hampshire",54,"broadband internet","US","web"
"District of Columbia",52,"broadband internet","US","web"
"Virginia",52,"broadband internet","US","web"
"Iowa",50,"broadband internet","US","web"
"South Carolina",49,"broadband internet","US","web"
"Maryland",47,"broadband internet","US","web"
"Kentucky",46,"broadband internet","US","web"
"Alaska",45,"broadband internet","US","web"
"Illinois",45,"broadband internet","US","web"
"Georgia",44,"broadband internet","US","web"
"Arkansas",44,"broadband internet","US","web"
"Wyoming",42,"broadband internet","US","web"
"Mississippi",42,"broadband internet","US","web"
"Minnesota",42,"broadband internet","US","web"
"Connecticut",41,"broadband internet","US","web"
"Tennessee",41,"broadband internet","US","web"
"California",40,"broadband internet","US","web"
"Indiana",40,"broadband internet","US","web"
"Wisconsin",40,"broadband internet","US","web"
"Missouri",39,"broadband internet","US","web"
"New York",39,"broadband internet","US","web"
"Alabama",38,"broadband internet","US","web"
"Florida",38,"broadband internet","US","web"
"North Carolina",38,"broadband internet","US","web"
"Ohio",38,"broadband internet","US","web"
"New Mexico",37,"broadband internet","US","web"
"Nevada",35,"broadband internet","US","web"
"Montana",34,"broadband internet","US","web"
"Michigan",33,"broadband internet","US","web"
"Louisiana",33,"broadband internet","US","web"
"Arizona",28,"broadband internet","US","web"
"Hawaii",28,"broadband internet","US","web"
"Vermont",27,"broadband internet","US","web"
"North Dakota",25,"broadband internet","US","web"
"Massachusetts",24,"broadband internet","US","web"
"New Jersey",21,"broadband internet","US","web"
"Rhode Island",21,"broadband internet","US","web"
"California",100,"high speed","US","web"
"Oklahoma",87,"high speed","US","web"
"Oregon",86,"high speed","US","web"
"Wisconsin",81,"high speed","US","web"
"Missouri",80,"high speed","US","web"
"Virginia",79,"high speed","US","web"
"Colorado",78,"high speed","US","web"
"Idaho",77,"high speed","US","web"
"Iowa",77,"high speed","US","web"
"Texas",77,"high speed","US","web"
"Georgia",76,"high speed","US","web"
"District of Columbia",76,"high speed","US","web"
"Pennsylvania",75,"high speed","US","web"
"Utah",75,"high speed","US","web"
"Washington",74,"high speed","US","web"
"South Carolina",73,"high speed","US","web"
"Michigan",73,"high speed","US","web"
"Alabama",73,"high speed","US","web"
"Mississippi",73,"high speed","US","web"
"Arizona",73,"high speed","US","web"
"Rhode Island",72,"high speed","US","web"
"Louisiana",72,"high speed","US","web"
"Nevada",72,"high speed","US","web"
"New Mexico",72,"high speed","US","web"
"Indiana",71,"high speed","US","web"
"New Hampshire",71,"high speed","US","web"
"Minnesota",71,"high speed","US","web"
"Kansas",70,"high speed","US","web"
"Arkansas",70,"high speed","US","web"
"Maine",69,"high speed","US","web"
"Massachusetts",69,"high speed","US","web"
"Montana",68,"high speed","US","web"
"Connecticut",67,"high speed","US","web"
"Illinois",67,"high speed","US","web"
"North Carolina",67,"high speed","US","web"
"New York",67,"high speed","US","web"
"Ohio",67,"high speed","US","web"
"Vermont",66,"high speed","US","web"
"Wyoming",66,"high speed","US","web"
"Nebraska",66,"high speed","US","web"
"Tennessee",66,"high speed","US","web"
"Kentucky",63,"high speed","US","web"
"South Dakota",62,"high speed","US","web"
"Alaska",62,"high speed","US","web"
"North Dakota",62,"high speed","US","web"
"Florida",62,"high speed","US","web"
"West Virginia",58,"high speed","US","web"
"Maryland",58,"high speed","US","web"
"Delaware",55,"high speed","US","web"
"New Jersey",53,"high speed","US","web"
"Hawaii",53,"high speed","US","web"
